Code.T,Company Name,Market Segment,Industry,Fiscal Year End
2359.T,CORE CORPORATION,Prime,Information & Communication,March
2370.T,"MEDINET Co.,Ltd.",Growth,Services,September
2371.T,"Kakaku.com,Inc.",Prime,Services,March
2372.T,"I'rom Group Co.,Ltd.",Prime,Services,March
2373.T,CARE TWENTYONE CORPORATION,Standard,Services,October
2374.T,SAINT-CARE HOLDING CORPORATION,Prime,Services,March
2375.T,GiG Works Inc.,Standard,Services,October
2376.T,SCINEX CORPORATION,Standard,Services,March
2378.T,"RENAISSANCE,INCORPORATED",Prime,Services,March
2379.T,dip Corporation,Prime,Services,February
2384.T,"SBS Holdings,Inc.",Prime,Land Transportation,December
2385.T,Soiken Holdings Inc.,Growth,Services,June
2388.T,"Wedge Holdings CO.,LTD.",Growth,Other Financing Business,September
2389.T,"DIGITAL HOLDINGS,INC.",Prime,Services,December
2391.T,"PLANET,INC.",Standard,Services,July
2393.T,"Nippon Care Supply Co.,Ltd.",Standard,Services,March
2395.T,"SHIN NIPPON BIOMEDICAL LABORATORIES,LTD.",Prime,Services,March
2397.T,DNA Chip Research Inc.,Standard,Services,March
2402.T,amana inc.,Growth,Services,December
2404.T,TETSUJIN Inc.,Standard,Services,August
2408.T,"KG Intelligence CO.,LTD.",Standard,Services,December
2410.T,"CAREER DESIGN CENTER CO.,LTD.",Prime,Services,September
2411.T,GENDAI AGENCY INC.,Standard,Information & Communication,March
2412.T,Benefit One Inc.,Prime,Services,March
2413.T,"M3,Inc.",Prime,Services,March
2415.T,"Human Holdings Co.,Ltd.",Standard,Services,March
2418.T,TSUKADA GLOBAL HOLDINGS Inc.,Prime,Services,December
2424.T,Brass Corporation,Prime,Services,July
2425.T,"Care Service Co.,Ltd.",Standard,Services,March
2427.T,OUTSOURCING Inc.,Prime,Services,December
2428.T,WELLNET CORPORATION,Prime,Services,June
2429.T,"WORLD HOLDINGS CO.,LTD.",Prime,Services,December
2432.T,"DeNA Co.,Ltd.",Prime,Services,March
2433.T,HAKUHODO DY HOLDINGS INCORPORATED,Prime,Services,March
2435.T,"CEDAR.Co.,Ltd",Standard,Services,March
2436.T,"KYODO PUBLIC RELATIONS CO.,LTD.",Standard,Services,December
2437.T,"SHINWA WISE HOLDINGS CO.,LTD.",Standard,Services,May
2438.T,"Asukanet Company,Limited",Growth,Services,April
2440.T,"Gurunavi,Inc.",Prime,Services,March
2445.T,"Takamiya Co.,Ltd.",Prime,Services,March
2449.T,"PRAP Japan,Inc.",Standard,Services,August
2452.T,"Computer Mind Co.,Ltd.",TOKYO PRO Market,Information & Communication,March
2453.T,"Japan Best Rescue System Co.,Ltd.",Prime,Services,September
2454.T,"All About,Inc.",Standard,Services,March
2459.T,"AUN CONSULTING,Inc.",Standard,Services,May
2461.T,"FAN Communications,Inc.",Prime,Services,December
2462.T,"LIKE,Inc.",Prime,Services,May
2464.T,"BUSINESS BREAKTHROUGH,INC.",Prime,Services,March
2468.T,"FueTrek Co.,Ltd.",Standard,Services,March
2469.T,Hibino Corporation,Standard,Services,March
2471.T,"S-Pool,Inc.",Prime,Services,November
2475.T,"WDB HOLDINGS CO.,LTD.",Prime,Services,March
2477.T,"Temairazu,Inc.",Prime,Information & Communication,June
2479.T,JTEC CORPORATION,Growth,Services,March
2480.T,"System Location Co.,Ltd.",Standard,Information & Communication,March
2481.T,"TOWNNEWS-SHA CO.,LTD.",Standard,Services,June
2483.T,HONYAKU Center Inc.,Standard,Services,March
2484.T,"DEMAE-CAN CO.,LTD",Standard,Information & Communication,August
2485.T,TEAR Corporation,Standard,Services,September
2487.T,"CDG Co.,Ltd.",Standard,Services,December
2488.T,"JTP CO.,LTD.",Standard,Services,March
2489.T,Adways Inc.,Prime,Services,December
2491.T,"ValueCommerce Co.,Ltd.",Prime,Services,December
2492.T,Infomart Corporation,Prime,Services,December
2493.T,"E-SUPPORTLINK,Ltd.",Standard,Services,November
2497.T,"UNITED,Inc.",Growth,Services,March
2498.T,Oriental Consultants Holdings Company Limited,Standard,Services,September
2499.T,"NIHONWASOU HOLDINGS,INC.",Standard,Services,December
2501.T,SAPPORO HOLDINGS LIMITED,Prime,Foods,December
2502.T,"Asahi Group Holdings,Ltd.",Prime,Foods,December
2503.T,"Kirin Holdings Company,Limited",Prime,Foods,December
2531.T,TAKARA HOLDINGS INC.,Prime,Foods,March
2533.T,"Oenon Holdings,Inc.",Prime,Foods,December
2540.T,"YOMEISHU SEIZO CO.,LTD.",Prime,Foods,March
2573.T,"HOKKAIDO COCA-COLA BOTTLING CO.,LTD.",Standard,Foods,December
2579.T,Coca-Cola Bottlers Japan Holdings Inc.,Prime,Foods,December
2585.T,"LIFEDRINK COMPANY,INC.",Prime,Foods,March
2586.T,FRUTA FRUTA INC.,Growth,Foods,March
2587.T,Suntory Beverage & Food Limited,Prime,Foods,December
2588.T,"Premium Water Holdings,Inc.",Standard,Foods,March
2590.T,"DyDo GROUP HOLDINGS,INC.",Prime,Foods,January
2593.T,"ITO EN,LTD.",Prime,Foods,April
2594.T,KEY COFFEE INC,Prime,Foods,March
2597.T,UNICAFE INC.,Standard,Foods,December
2599.T,"JAPAN FOODS CO.,LTD.",Standard,Foods,March
2602.T,"The Nisshin OilliO Group,Ltd.",Prime,Foods,March
2607.T,FUJI OIL HOLDINGS INC.,Prime,Foods,March
2612.T,KADOYA SESAME MILLS INCORPORATED,Standard,Foods,March
2613.T,"J-OIL MILLS, INC.",Prime,Foods,March
2651.T,"Lawson,Inc.",Prime,Retail Trade,February
2652.T,MANDARAKE INC.,Standard,Retail Trade,September
2653.T,"AEON KYUSHU CO.,LTD.",Standard,Retail Trade,February
2654.T,ASMO CORPORATION,Standard,Retail Trade,March
2656.T,Vector HOLDINGS Inc.,Standard,Retail Trade,March
2659.T,"SAN-A CO.,LTD.",Prime,Retail Trade,February
2664.T,CAWACHI LIMITED,Prime,Retail Trade,March
2666.T,"AUTOWAVE Co.,Ltd.",Standard,Retail Trade,March
2667.T,"ImageONE Co.,Ltd.",Standard,Wholesale Trade,September
2668.T,Tabio Corporation,Standard,Wholesale Trade,February
2669.T,"Kanemi Co.,Ltd.",Standard,Retail Trade,February
2670.T,"ABC-MART,INC.",Prime,Retail Trade,February
2673.T,"YUMEMITSUKETAI Co.,Ltd.",Standard,Retail Trade,March
